QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,43.87400905630313,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.897913947870343,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,32.55920848657627,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,41.57571748312668,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,35.09031166259834,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,41.83811741531162,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,45.532484145321874,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,47.629292737117254,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,60.980520546877614,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,63.47276355644416,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,57.03032805903309,False,string,algorithms
39,Combination Sum,combination-sum,Medium,73.18171552759658,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,56.71798680524276,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,40.18492440020263,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,63.52128260963579,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,41.30195839354599,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,28.899092429267608,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,40.859721008914164,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,79.5885219827921,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,60.42518295197633,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,76.37435529606992,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,69.7556464843787,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,35.950912140353665,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,70.58510624972338,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,75.34354074561034,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,51.39937955180657,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,51.93767152705939,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.90620107905984,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,48.27436818075759,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,42.48538799693557,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,54.40836398273606,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,72.43385209784897,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,48.47637477611676,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,38.922975001107616,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,65.04929107949245,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,42.39687143802953,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,65.29031129765653,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,20.626320313226586,False,string,algorithms
66,Plus One,plus-one,Easy,46.524534705172094,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,54.644835001932016,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,45.90476245263626,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,39.599744417341256,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,53.223051262287,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,45.14519033701899,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,57.66087030553887,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,58.01333390907527,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,51.31628667662949,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,65.52647433426512,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,44.06821792526932,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,71.6629316437534,False,backtracking,algorithms
78,Subsets,subsets,Medium,79.62219406045298,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,44.0040874795714,False,"array,string,backtracking,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,60.90420639024286,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,38.33651142864286,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,48.6855814840585,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,53.80900866467141,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,45.88945849840735,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,52.17206642650574,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,57.647839209313126,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,41.09620913729205,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,51.518504820989186,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,60.48069730991427,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,58.37077960726435,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,35.72205532231688,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,48.619092627599244,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,51.60238274376178,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,77.44256435528837,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,59.09035646698931,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,61.80256989903473,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,40.89776031763785,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,33.64128576129463,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,54.729778007397925,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,63.76562619754175,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
101,Symmetric Tree,symmetric-tree,Easy,57.96459161783309,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,69.01264105964886,False,"tree,breadth-first-search,binary-tree",algorithms
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,60.3902113329708,False,"tree,breadth-first-search,binary-tree",algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,76.37363914509989,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,65.42750650823675,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,64.79699183219861,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,64.72747117555717,False,"tree,breadth-first-search,binary-tree",algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,72.98896653441915,False,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,63.198113947159165,False,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,53.88225346686729,False,"tree,depth-first-search,binary-tree",algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,49.346151881465985,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
112,Path Sum,path-sum,Easy,51.76965298178916,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
113,Path Sum II,path-sum-ii,Medium,59.542778958473875,False,"backtracking,tree,depth-first-search,binary-tree",algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,66.89256049656662,False,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,48.75547015000607,False,"string,dynamic-programming",algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,64.08955700019952,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,54.055320260945514,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
118,Pascal's Triangle,pascals-triangle,Easy,75.779996434302,False,"array,dynamic-programming",algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,65.01615537135832,False,"array,dynamic-programming",algorithms
120,Triangle,triangle,Medium,58.014287893762805,False,"array,dynamic-programming",algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,54.37503107969251,False,"array,dynamic-programming",algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,68.12540275551547,False,"array,dynamic-programming,greedy",algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,49.58418479849671,False,"array,dynamic-programming",algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,40.60327012176969,False,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
125,Valid Palindrome,valid-palindrome,Easy,49.24859872372445,False,"two-pointers,string",algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.12099054167349,False,"hash-table,string,backtracking,breadth-first-search",algorithms
127,Word Ladder,word-ladder,Hard,40.926789166069106,False,"hash-table,string,breadth-first-search",algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.625309579323726,False,"array,hash-table,union-find",algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,67.18578328456275,False,"tree,depth-first-search,binary-tree",algorithms
130,Surrounded Regions,surrounded-regions,Medium,41.24691536509614,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,70.68020112212116,False,"string,dynamic-programming,backtracking",algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,34.50836633883672,False,"string,dynamic-programming",algorithms
133,Clone Graph,clone-graph,Medium,59.9389157438138,False,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
134,Gas Station,gas-station,Medium,45.686790924798096,False,"array,greedy",algorithms
135,Candy,candy,Hard,44.00106643432324,False,"array,greedy",algorithms
136,Single Number,single-number,Easy,74.59210306744394,False,"array,bit-manipulation",algorithms
137,Single Number II,single-number-ii,Medium,64.1100241343511,False,"array,bit-manipulation",algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,58.3875025263438,False,"hash-table,linked-list",algorithms
139,Word Break,word-break,Medium,47.485515183101114,False,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
140,Word Break II,word-break-ii,Hard,52.26260793592794,False,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
141,Linked List Cycle,linked-list-cycle,Easy,51.41403698289702,False,"hash-table,linked-list,two-pointers",algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,53.11213227143643,False,"hash-table,linked-list,two-pointers",algorithms
143,Reorder List,reorder-list,Medium,60.70531129570579,False,"linked-list,two-pointers,stack,recursion",algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,71.40645941578406,False,"stack,tree,depth-first-search,binary-tree",algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,74.01177927757135,False,"stack,tree,depth-first-search,binary-tree",algorithms
146,LRU Cache,lru-cache,Medium,43.71893434257808,False,"hash-table,linked-list,design,doubly-linked-list",algorithms
147,Insertion Sort List,insertion-sort-list,Medium,55.077904494017595,False,"linked-list,sorting",algorithms
148,Sort List,sort-list,Medium,60.048677485347426,False,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,27.866336794817542,False,"array,hash-table,math,geometry",algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,53.22751197959047,False,"array,math,stack",algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,47.77926497863224,False,"two-pointers,string",algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,34.17911176171998,False,"array,dynamic-programming",algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,51.66499235184017,False,"array,binary-search",algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,43.834815560062914,False,"array,binary-search",algorithms
155,Min Stack,min-stack,Medium,55.34918220861152,False,"stack,design",algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,63.587939878538876,True,"tree,depth-first-search,binary-tree",algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,41.90224362724347,True,"array,simulation,interactive",algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.618677616579134,True,"array,simulation,interactive",algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,55.84677793183583,True,"hash-table,string,sliding-window",algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,59.388142994438155,False,"hash-table,linked-list,two-pointers",algorithms
161,One Edit Distance,one-edit-distance,Medium,34.40794596742153,True,"two-pointers,string",algorithms
162,Find Peak Element,find-peak-element,Medium,46.15432989693616,False,"array,binary-search",algorithms
163,Missing Ranges,missing-ranges,Easy,34.546916005812314,True,array,algorithms
164,Maximum Gap,maximum-gap,Medium,47.760405683191074,False,"array,sorting,bucket-sort,radix-sort",algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,41.59810018069974,False,"two-pointers,string",algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,25.582179576509635,False,"hash-table,math,string",algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,62.376567010964756,False,"array,two-pointers,binary-search",algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,42.19606452653136,False,"math,string",algorithms
169,Majority Element,majority-element,Easy,65.33799735156133,False,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.405219608056434,True,"array,hash-table,two-pointers,design,data-stream",algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,64.82639526445104,False,"math,string",algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,44.079344808197746,False,math,algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,73.58179266437061,False,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
174,Dungeon Game,dungeon-game,Hard,38.709584401978105,False,"array,dynamic-programming,matrix",algorithms
175,Combine Two Tables,combine-two-tables,Easy,77.07381057286584,False,database,database
176,Second Highest Salary,second-highest-salary,Medium,42.161035476099244,False,database,database
177,Nth Highest Salary,nth-highest-salary,Medium,37.954916818428345,False,database,database
178,Rank Scores,rank-scores,Medium,63.839850834322675,False,database,database
179,Largest Number,largest-number,Medium,40.34852473684306,False,"array,string,greedy,sorting",algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,44.57762402119152,False,database,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,70.56530214424951,False,database,database
182,Duplicate Emails,duplicate-emails,Easy,71.76844108061849,False,database,database
183,Customers Who Never Order,customers-who-never-order,Easy,69.91419391771242,False,database,database
184,Department Highest Salary,department-highest-salary,Medium,53.18371063794323,False,database,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,55.76239092989035,False,database,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,55.409580657248604,True,"two-pointers,string",algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,50.064683053040106,False,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,45.10304375259858,False,"array,dynamic-programming",algorithms
189,Rotate Array,rotate-array,Medium,41.8971624804937,False,"array,math,two-pointers",algorithms
190,Reverse Bits,reverse-bits,Easy,61.01001887377415,False,"divide-and-conquer,bit-manipulation",algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,72.9625360487058,False,"divide-and-conquer,bit-manipulation",algorithms
192,Word Frequency,word-frequency,Medium,26.252706428266148,False,shell,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,26.550770673825287,False,shell,shell
194,Transpose File,transpose-file,Medium,27.04067587450757,False,shell,shell
195,Tenth Line,tenth-line,Easy,33.80103401643007,False,shell,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,63.31507792324174,False,database,database
197,Rising Temperature,rising-temperature,Easy,49.307669799913626,False,database,database
198,House Robber,house-robber,Medium,51.702411290952085,False,"array,dynamic-programming",algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,64.1735092336147,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
200,Number of Islands,number-of-islands,Medium,60.84990474771617,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,47.31852433753977,False,bit-manipulation,algorithms
202,Happy Number,happy-number,Easy,57.093238135812626,False,"hash-table,math,two-pointers",algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,50.37815329687639,False,"linked-list,recursion",algorithms
204,Count Primes,count-primes,Medium,34.166945920500424,False,"array,math,enumeration,number-theory",algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,45.9737061847007,False,"hash-table,string",algorithms
206,Reverse Linked List,reverse-linked-list,Easy,78.045629390398,False,"linked-list,recursion",algorithms
207,Course Schedule,course-schedule,Medium,47.863540274161224,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,66.7959962805496,False,"hash-table,string,design,trie",algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,48.206388320498924,False,"array,binary-search,sliding-window,prefix-sum",algorithms
210,Course Schedule II,course-schedule-ii,Medium,51.924188022712414,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,46.21636423860607,False,"string,depth-first-search,design,trie",algorithms
212,Word Search II,word-search-ii,Hard,36.74504230008422,False,"array,string,backtracking,trie,matrix",algorithms
213,House Robber II,house-robber-ii,Medium,42.769861888456035,False,"array,dynamic-programming",algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,39.935816447243425,False,"string,rolling-hash,string-matching,hash-function",algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,67.27633004504762,False,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
216,Combination Sum III,combination-sum-iii,Medium,70.84500112155484,False,"array,backtracking",algorithms
217,Contains Duplicate,contains-duplicate,Easy,62.43207856917908,False,"array,hash-table,sorting",algorithms
218,The Skyline Problem,the-skyline-problem,Hard,43.28294295729764,False,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,47.10802731764531,False,"array,hash-table,sliding-window",algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,23.130070757478894,False,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
221,Maximal Square,maximal-square,Medium,47.71806811896733,False,"array,dynamic-programming,matrix",algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,67.91388206951288,False,"binary-search,bit-manipulation,tree,binary-tree",algorithms
223,Rectangle Area,rectangle-area,Medium,46.834591879846,False,"math,geometry",algorithms
224,Basic Calculator,basic-calculator,Hard,44.24346266282528,False,"math,string,stack,recursion",algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,65.7440784095644,False,"stack,design,queue",algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,78.14753777045324,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,44.63795750719207,False,"math,string,stack",algorithms
228,Summary Ranges,summary-ranges,Easy,52.02972014981113,False,array,algorithms
229,Majority Element II,majority-element-ii,Medium,53.01806175705723,False,"array,hash-table,sorting,counting",algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,74.0826563754732,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
231,Power of Two,power-of-two,Easy,48.05770031360113,False,"math,bit-manipulation,recursion",algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,67.28958952770788,False,"stack,design,queue",algorithms
233,Number of Digit One,number-of-digit-one,Hard,35.1584975394467,False,"math,dynamic-programming,recursion",algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,54.51943182818968,False,"linked-list,two-pointers,stack,recursion",algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,66.59586794334949,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,64.56992927532093,False,"tree,depth-first-search,binary-tree",algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,81.1456771614193,False,linked-list,algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,66.95585711077506,False,"array,prefix-sum",algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,46.976373502558,False,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,53.8495474722397,False,"array,binary-search,divide-and-conquer,matrix",algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,71.81536337228236,False,"math,string,dynamic-programming,recursion,memoization",algorithms
242,Valid Anagram,valid-anagram,Easy,65.6272540651316,False,"hash-table,string,sorting",algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,65.5949017688102,True,"array,string",algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,61.56485850423734,True,"array,hash-table,two-pointers,string,design",algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,58.70521206422082,True,"array,string",algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.644716043515544,True,"hash-table,two-pointers,string",algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,52.6929501571621,True,"array,string,recursion",algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,42.29605871408842,True,"array,string,recursion",algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,66.48234012523805,True,"array,hash-table,string",algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,56.765701445498564,True,"tree,depth-first-search,binary-tree",algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,49.78258168716611,True,"array,two-pointers,design,iterator",algorithms
252,Meeting Rooms,meeting-rooms,Easy,58.53893350760738,True,"array,sorting",algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,51.68231814395659,True,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
